Relationship,Pearson_Coef,Pearson_PValue,Spearman_Coef,Spearman_PValue,P_Val_Significant
YearsOfExperience vs TeacherRating,0.598,0.0,0.6705,0.0,Yes
YearsOfExperience vs AvgCourseRating,-0.0562,0.669492,-0.0441,0.73767,No
TeacherRating vs AvgCourseRating,0.0003,0.998333,-0.0545,0.679325,No
TeacherRating vs TotalEnrollments,0.3183,0.013197,-0.012,0.92736,Yes
AvgCourseRating vs TotalEnrollments,-0.0386,0.769798,-0.178,0.173731,No
TeacherAge vs TeacherRating,0.352,0.005817,0.3333,0.00926,Yes
TeacherAge vs AvgCourseRating,-0.0255,0.846505,-0.0509,0.699567,No
